sab,onsettime,autofile_i,ppid,cogload,trialn,RT,disengaged,premature,maxsb,design,TLC_calc,V1,simulated_ttlc,TLC_onset,TLC_takeover,time_remaining,early,TLC_end_of_trial,censored,TLC_failure
-0.52191351,6,0,9,noload,24,3.91687987491252,1,0,0.642887728806336,balanced,6.38605011755701,2,7.116666667,7.116666667,3.19978679208748,9,5.08312012508748,-1.883333333,0,7.12
-0.52191351,6,0,3,noload,10,4.33388240557031,1,0,0.66818165,balanced,6.38605011755701,2,7.116666667,7.116666667,2.78278426142969,9,4.66611759442969,-1.883333333,0,7.12
-0.52191351,6,0,9,noload,4,4.16686266933908,1,0,0.820542181,balanced,6.38605011755701,2,7.116666667,7.116666667,2.94980399766092,9,4.83313733066092,-1.883333333,0,7.12
-0.52191351,6,0,11,noload,47,5.68308318,1,0,1.122957438,balanced,6.38605011755701,2,7.116666667,7.116666667,1.433583487,9,3.31691682,-1.883333333,0,7.12
-0.52191351,6,0,9,noload,23,4.13366708121032,1,0,0.700657805,balanced,6.38605011755701,2,7.116666667,7.116666667,2.98299958578968,9,4.86633291878968,-1.883333333,0,7.12
-0.52191351,6,0,7,noload,26,4.46709361384342,1,0,0.849595182,balanced,6.38605011755701,2,7.116666667,7.116666667,2.64957305315658,9,4.53290638615659,-1.883333333,0,7.12
-0.52191351,6,0,4,noload,47,4.0000211297729,1,0,0.664048711,balanced,6.38605011755701,2,7.116666667,7.116666667,3.1166455372271,9,4.9999788702271,-1.883333333,0,7.12
-0.52191351,6,0,10,noload,13,4.40035606900545,1,0,0.726345513,balanced,6.38605011755701,2,7.116666667,7.116666667,2.71631059799455,9,4.59964393099455,-1.883333333,0,7.12
-0.52191351,6,0,12,noload,45,4.51708658935923,1,0,0.744982188,balanced,6.38605011755701,2,7.116666667,7.116666667,2.59958007764077,9,4.48291341064077,-1.883333333,0,7.12
-0.52191351,6,0,3,noload,32,4.06630764164265,1,0,0.619284948517874,balanced,6.38605011755701,2,7.116666667,7.116666667,3.05035902535735,9,4.93369235835735,-1.883333333,0,7.12
-0.52191351,6,0,11,noload,22,5.48370452743916,1,0,1.05548411053957,balanced,6.38605011755701,2,7.116666667,7.116666667,1.63296213956084,9,3.51629547256084,-1.883333333,0,7.12
-0.52191351,6,0,6,noload,7,5.06670822152259,1,0,1.01367672597591,balanced,6.38605011755701,2,7.116666667,7.116666667,2.04995844547741,9,3.93329177847741,-1.883333333,0,7.12
-0.52191351,6,0,11,noload,13,5.40050446416984,1,0,1.020572838,balanced,6.38605011755701,2,7.116666667,7.116666667,1.71616220283016,9,3.59949553583016,-1.883333333,0,7.12
-0.52191351,6,0,12,noload,47,3.91710174255741,1,0,0.561901364019065,balanced,6.38605011755701,2,7.116666667,7.116666667,3.19956492444259,9,5.08289825744259,-1.883333333,0,7.12
-0.52191351,6,0,12,noload,38,4.53378136893139,1,0,0.754911083278003,balanced,6.38605011755701,2,7.116666667,7.116666667,2.58288529806861,9,4.46621863106861,-1.883333333,0,7.12
-0.52191351,6,0,1,noload,3,4.43361755,1,0,0.767115913,balanced,6.38605011755701,2,7.116666667,7.116666667,2.683049117,9,4.56638245,-1.883333333,0,7.12
-0.52191351,6,0,3,noload,46,4.21731005315337,1,0,0.659512525530044,balanced,6.38605011755701,2,7.116666667,7.116666667,2.89935661384663,9,4.78268994684663,-1.883333333,0,7.12
-0.52191351,6,0,4,noload,17,4.38356876427957,1,0,0.652616195522002,balanced,6.38605011755701,2,7.116666667,7.116666667,2.73309790272043,9,4.61643123572043,-1.883333333,0,7.12
-0.52191351,6,0,1,noload,36,4.48372771,1,0,0.861121395,balanced,6.38605011755701,2,7.116666667,7.116666667,2.632938957,9,4.51627229,-1.883333333,0,7.12
-0.52191351,6,0,8,noload,38,4.61690729242434,1,0,0.8760459,balanced,6.38605011755701,2,7.116666667,7.116666667,2.49975937457566,9,4.38309270757566,-1.883333333,0,7.12
-0.52191351,6,0,7,noload,12,4.28322710969684,1,0,0.698983064,balanced,6.38605011755701,2,7.116666667,7.116666667,2.83343955730316,9,4.71677289030316,-1.883333333,0,7.12
-0.52191351,6,0,10,noload,39,4.75050719307092,1,0,1.122716586,balanced,6.38605011755701,2,7.116666667,7.116666667,2.36615947392908,9,4.24949280692908,-1.883333333,0,7.12
-0.52191351,6,0,11,noload,12,5.61712340717372,1,0,1.097262803,balanced,6.38605011755701,2,7.116666667,7.116666667,1.49954325982628,9,3.38287659282628,-1.883333333,0,7.12
